*****************13/10/2016 08:31:04.177*****************
08:31:04.189 -> Devox v 1.2.160808.14
08:31:19.884 -> Nuevo intento de acceso con usuario: admin
08:31:21.315 -> Ingresó como usuario con permisos
08:31:21.450 -> El usario cerró el programa

08:31:21.582 -> Se abrió una nueva ventana Home
08:31:21.591 -> Actions created
08:31:23.520 -> nuevaDevolucion con posicion captura: 0
08:31:23.601 -> Nueva devolución: 000980
08:31:43.971 -> Abre ver devoluciones
08:31:45.212 -> creada la cuadricula 979
08:31:45.274 -> creada la cuadricula 978
08:31:45.332 -> creada la cuadricula 977
08:31:45.391 -> creada la cuadricula 976
08:31:45.446 -> creada la cuadricula 975
08:31:45.505 -> creada la cuadricula 974
08:31:45.564 -> creada la cuadricula 973
08:31:45.608 -> creada la cuadricula 972
08:31:45.655 -> creada la cuadricula 971
08:31:45.699 -> creada la cuadricula 970
08:31:45.800 -> creada la cuadricula 969
08:31:45.843 -> creada la cuadricula 968
08:31:45.892 -> creada la cuadricula 967
08:31:45.937 -> creada la cuadricula 966
08:31:45.989 -> creada la cuadricula 965
08:31:46.225 -> creada la cuadricula 964
08:31:46.310 -> creada la cuadricula 963
08:31:46.358 -> creada la cuadricula 962
08:31:46.433 -> creada la cuadricula 961
08:31:46.535 -> creada la cuadricula 960
08:31:46.621 -> creada la cuadricula 959
08:31:46.669 -> creada la cuadricula 958
08:31:46.726 -> creada la cuadricula 957
08:31:46.790 -> creada la cuadricula 956
08:31:46.847 -> creada la cuadricula 955
08:31:46.895 -> creada la cuadricula 954
08:31:47.038 -> creada la cuadricula 953
08:31:47.101 -> creada la cuadricula 952
08:31:47.137 -> creada la cuadricula 951
08:31:47.170 -> creada la cuadricula 950
08:31:47.204 -> creada la cuadricula 949
08:31:47.241 -> creada la cuadricula 948
08:31:47.278 -> creada la cuadricula 947
08:31:47.312 -> creada la cuadricula 946
08:31:47.347 -> creada la cuadricula 945
08:31:47.380 -> creada la cuadricula 944
08:31:47.415 -> creada la cuadricula 943
08:31:47.451 -> creada la cuadricula 942
08:31:47.483 -> creada la cuadricula 941
08:31:47.516 -> creada la cuadricula 940
08:31:47.546 -> creada la cuadricula 939
08:31:47.580 -> creada la cuadricula 938
08:31:47.619 -> creada la cuadricula 937
08:31:47.654 -> creada la cuadricula 936
08:31:47.686 -> creada la cuadricula 935
08:31:47.718 -> creada la cuadricula 934
08:31:47.750 -> creada la cuadricula 933
08:31:47.785 -> creada la cuadricula 932
08:31:47.836 -> creada la cuadricula 931
08:31:47.877 -> creada la cuadricula 930
08:31:47.912 -> creada la cuadricula 929
08:31:47.943 -> creada la cuadricula 928
08:31:47.984 -> creada la cuadricula 927
08:31:48.016 -> creada la cuadricula 926
08:31:48.048 -> creada la cuadricula 925
08:31:48.078 -> creada la cuadricula 924
08:31:48.108 -> creada la cuadricula 923
08:31:48.138 -> creada la cuadricula 922
08:31:48.173 -> creada la cuadricula 921
08:31:48.211 -> creada la cuadricula 919
08:31:48.241 -> creada la cuadricula 918
08:31:48.272 -> creada la cuadricula 917
08:31:48.303 -> creada la cuadricula 916
08:31:48.363 -> creada la cuadricula 915
08:31:48.391 -> creada la cuadricula 914
08:31:48.420 -> creada la cuadricula 913
08:31:48.445 -> creada la cuadricula 912
08:31:48.471 -> creada la cuadricula 911
08:31:48.499 -> creada la cuadricula 910
08:31:48.528 -> creada la cuadricula 909
08:31:48.552 -> creada la cuadricula 908
08:31:48.579 -> creada la cuadricula 907
08:31:48.607 -> creada la cuadricula 906
08:31:48.633 -> creada la cuadricula 905
08:31:48.662 -> creada la cuadricula 904
08:31:48.694 -> creada la cuadricula 903
08:31:48.721 -> creada la cuadricula 902
08:31:48.751 -> creada la cuadricula 901
08:31:48.779 -> creada la cuadricula 900
08:31:48.805 -> creada la cuadricula 899
08:31:48.833 -> creada la cuadricula 898
08:31:48.861 -> creada la cuadricula 897
08:31:48.890 -> creada la cuadricula 896
08:31:48.919 -> creada la cuadricula 895
08:31:48.949 -> creada la cuadricula 894
08:31:48.982 -> creada la cuadricula 893
08:31:49.010 -> creada la cuadricula 892
08:31:49.033 -> creada la cuadricula 891
08:31:49.058 -> creada la cuadricula 890
08:31:49.091 -> creada la cuadricula 889
08:31:49.119 -> creada la cuadricula 888
08:31:49.144 -> creada la cuadricula 887
08:31:49.170 -> creada la cuadricula 886
08:31:49.196 -> creada la cuadricula 885
08:31:49.222 -> creada la cuadricula 884
08:31:49.249 -> creada la cuadricula 883
08:31:49.271 -> creada la cuadricula 882
08:31:49.374 -> creada la cuadricula 881
08:31:49.415 -> creada la cuadricula 880
08:31:49.441 -> creada la cuadricula 879
08:31:49.467 -> creada la cuadricula 878
08:31:49.497 -> creada la cuadricula 877
08:31:49.523 -> creada la cuadricula 876
08:31:49.548 -> creada la cuadricula 875
08:31:49.571 -> creada la cuadricula 874
08:31:49.592 -> creada la cuadricula 873
08:31:49.620 -> creada la cuadricula 872
08:31:49.644 -> creada la cuadricula 871
08:31:49.671 -> creada la cuadricula 870
08:31:49.697 -> creada la cuadricula 869
08:31:49.720 -> creada la cuadricula 868
08:31:49.751 -> creada la cuadricula 867
08:31:49.777 -> creada la cuadricula 866
08:31:49.802 -> creada la cuadricula 865
08:31:49.833 -> creada la cuadricula 864
08:31:49.857 -> creada la cuadricula 863
08:31:49.883 -> creada la cuadricula 862
08:31:49.908 -> creada la cuadricula 861
08:31:49.938 -> creada la cuadricula 860
08:31:49.965 -> creada la cuadricula 859
08:31:49.987 -> creada la cuadricula 858
08:31:50.014 -> creada la cuadricula 857
08:31:50.040 -> creada la cuadricula 856
08:31:50.067 -> creada la cuadricula 855
08:31:50.094 -> creada la cuadricula 854
08:31:50.128 -> creada la cuadricula 853
08:31:50.154 -> creada la cuadricula 852
08:31:50.190 -> creada la cuadricula 851
08:31:50.220 -> creada la cuadricula 850
08:31:50.246 -> creada la cuadricula 849
08:31:50.268 -> creada la cuadricula 848
08:31:50.295 -> creada la cuadricula 847
08:31:50.320 -> creada la cuadricula 846
08:31:50.343 -> creada la cuadricula 845
08:31:50.373 -> creada la cuadricula 844
08:31:50.398 -> creada la cuadricula 843
08:31:50.426 -> creada la cuadricula 842
08:31:50.453 -> creada la cuadricula 841
08:31:50.476 -> creada la cuadricula 840
08:31:50.531 -> creada la cuadricula 839
08:31:50.553 -> creada la cuadricula 838
08:31:50.577 -> creada la cuadricula 837
08:31:50.603 -> creada la cuadricula 836
08:31:50.624 -> creada la cuadricula 835
08:31:50.643 -> creada la cuadricula 834
08:31:50.665 -> creada la cuadricula 833
08:31:50.685 -> creada la cuadricula 832
08:31:50.706 -> creada la cuadricula 831
08:31:50.726 -> creada la cuadricula 830
08:31:50.756 -> creada la cuadricula 829
08:31:50.779 -> creada la cuadricula 828
08:31:50.802 -> creada la cuadricula 827
08:31:50.823 -> creada la cuadricula 826
08:31:50.846 -> creada la cuadricula 825
08:31:50.867 -> creada la cuadricula 824
08:31:50.893 -> creada la cuadricula 823
08:31:50.919 -> creada la cuadricula 822
08:31:50.944 -> creada la cuadricula 821
08:31:50.965 -> creada la cuadricula 820
08:31:51.001 -> creada la cuadricula 819
08:31:51.030 -> creada la cuadricula 818
08:31:51.064 -> creada la cuadricula 817
08:31:51.086 -> creada la cuadricula 816
08:31:51.104 -> creada la cuadricula 815
08:31:51.126 -> creada la cuadricula 814
08:31:51.148 -> creada la cuadricula 813
08:31:51.171 -> creada la cuadricula 812
08:31:51.195 -> creada la cuadricula 811
08:31:51.219 -> creada la cuadricula 810
08:31:51.247 -> creada la cuadricula 809
08:31:51.274 -> creada la cuadricula 808
08:31:51.299 -> creada la cuadricula 807
08:31:51.330 -> creada la cuadricula 806
08:31:51.361 -> creada la cuadricula 805
08:31:51.390 -> creada la cuadricula 804
08:31:51.424 -> creada la cuadricula 803
08:31:51.454 -> creada la cuadricula 802
08:31:51.482 -> creada la cuadricula 801
08:31:51.512 -> creada la cuadricula 800
08:31:51.541 -> creada la cuadricula 799
08:31:51.607 -> creada la cuadricula 798
08:31:51.631 -> creada la cuadricula 797
08:31:51.653 -> creada la cuadricula 796
08:31:51.676 -> creada la cuadricula 795
08:31:51.700 -> creada la cuadricula 794
08:31:51.723 -> creada la cuadricula 793
08:31:51.750 -> creada la cuadricula 792
08:31:51.774 -> creada la cuadricula 791
08:31:51.795 -> creada la cuadricula 790
08:31:51.817 -> creada la cuadricula 789
08:31:51.840 -> creada la cuadricula 788
08:31:51.876 -> creada la cuadricula 787
08:31:51.897 -> creada la cuadricula 786
